"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Worst Case Testing: tutte le combinazioni di use_ai, count, ai_prompt, seed.","6","test_generate_wct[False-100-None-None]","tests.core","Sat Dec 06 14:17:59 UTC 2025","passed","Sat Dec 06 14:17:59 UTC 2025","","test_engine","",""
"Testa che un file con un solo carattere non valido sollevi SchemaError.","0","test_parse_single_char_file","tests.core","Sat Dec 06 14:17:59 UTC 2025","passed","Sat Dec 06 14:17:59 UTC 2025","","test_schema_parser","",""
"Testa che venga sollevato errore se il file non esiste.","0","test_file_not_found","tests.core","Sat Dec 06 14:17:59 UTC 2025","passed","Sat Dec 06 14:17:59 UTC 2025","","test_schema_parser","",""
"","1","test_generate_boolean","tests.generators","Sat Dec 06 14:17:59 UTC 2025","passed","Sat Dec 06 14:17:59 UTC 2025","","test_algorithmic","",""
"File esistente, JSON valido, schema valido.","1","test_parse_file_exists_json_invalid_schema_valid","tests.core","Sat Dec 06 14:17:59 UTC 2025","passed","Sat Dec 06 14:17:59 UTC 2025","","test_schema_parser","",""
"Worst Case Testing: tutte le combinazioni di use_ai, count, ai_prompt, seed.","0","test_generate_wct[True-1-Prompt di test-123]","tests.core","Sat Dec 06 14:17:59 UTC 2025","passed","Sat Dec 06 14:17:59 UTC 2025","","test_engine","",""
"Worst Case Testing: tutte le combinazioni di use_ai, count, ai_prompt, seed.","1","test_generate_wct[True-100-None-123]","tests.core","Sat Dec 06 14:17:59 UTC 2025","passed","Sat Dec 06 14:17:59 UTC 2025","","test_engine","",""
"Worst Case Testing: tutte le combinazioni di use_ai, count, ai_prompt, seed.","2","test_generate_wct[True-100-None-None]","tests.core","Sat Dec 06 14:17:59 UTC 2025","passed","Sat Dec 06 14:17:59 UTC 2025","","test_engine","",""
"Testa _validate_structure con schema valido.","1","test_validate_structure_valid","tests.core","Sat Dec 06 14:17:59 UTC 2025","passed","Sat Dec 06 14:17:59 UTC 2025","","test_schema_parser","",""
"
    Testa che due generatori inizializzati con lo stesso seed
    producano ESATTAMENTE gli stessi dati complessi.
    ","3","test_reproducibility_with_seed","tests.generators","Sat Dec 06 14:17:59 UTC 2025","passed","Sat Dec 06 14:17:59 UTC 2025","","test_algorithmic","",""
"Worst Case Testing: tutte le combinazioni di use_ai, count, ai_prompt, seed.","5","test_generate_wct[False-100-Prompt di test-123]","tests.core","Sat Dec 06 14:17:59 UTC 2025","passed","Sat Dec 06 14:17:59 UTC 2025","","test_engine","",""
"WECT: tutte le combinazioni di use_ai e seed per _get_generator_strategy.","1","test_get_generator_strategy_wect[False-None]","tests.core","Sat Dec 06 14:17:59 UTC 2025","passed","Sat Dec 06 14:17:59 UTC 2025","","test_engine","",""
"","1","test_generate_uuid_format","tests.generators","Sat Dec 06 14:17:59 UTC 2025","passed","Sat Dec 06 14:17:59 UTC 2025","","test_algorithmic","",""
"Boundary Value Analysis sul parametro count.","1","test_generate_count_bva[10]","tests.core","Sat Dec 06 14:17:59 UTC 2025","passed","Sat Dec 06 14:17:59 UTC 2025","","test_engine","",""
"Worst Case Testing: tutte le combinazioni di use_ai, count, ai_prompt, seed.","5","test_generate_wct[False-100-Prompt di test-None]","tests.core","Sat Dec 06 14:17:59 UTC 2025","passed","Sat Dec 06 14:17:59 UTC 2025","","test_engine","",""
"Testa _validate_structure con tipo non valido (WECT: schema non valido).","1","test_validate_structure_invalid_type","tests.core","Sat Dec 06 14:17:59 UTC 2025","passed","Sat Dec 06 14:17:59 UTC 2025","","test_schema_parser","",""
"Worst Case Testing: tutte le combinazioni di use_ai, count, ai_prompt, seed.","5","test_generate_wct[False-100-None-123]","tests.core","Sat Dec 06 14:17:59 UTC 2025","passed","Sat Dec 06 14:17:59 UTC 2025","","test_engine","",""
"Testa che SchemaError accetti e mostri il messaggio.","0","test_schema_error_message","tests.core","Sat Dec 06 14:17:59 UTC 2025","passed","Sat Dec 06 14:17:59 UTC 2025","","test_schema_parser","",""
"Worst Case Testing: tutte le combinazioni di use_ai, count, ai_prompt, seed.","1","test_generate_wct[True-100-Prompt di test-None]","tests.core","Sat Dec 06 14:17:59 UTC 2025","passed","Sat Dec 06 14:17:59 UTC 2025","","test_engine","",""
"Worst Case Testing: tutte le combinazioni di use_ai, count, ai_prompt, seed.","1","test_generate_wct[False-1-None-None]","tests.core","Sat Dec 06 14:17:59 UTC 2025","passed","Sat Dec 06 14:17:59 UTC 2025","","test_engine","",""
"Testa che un file vuoto sollevi SchemaError (boundary: file vuoto).","0","test_parse_empty_file","tests.core","Sat Dec 06 14:17:59 UTC 2025","passed","Sat Dec 06 14:17:59 UTC 2025","","test_schema_parser","",""
