"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"File esistente, JSON non valido.","1","test_parse_file_exists_json_not_valid","tests.core","Thu Nov 27 14:19:15 UTC 2025","passed","Thu Nov 27 14:19:15 UTC 2025","","test_schema_parser","",""
"File esistente, JSON valido, schema non valido (tipo errato).","0","test_parse_file_exists_json_invalid_schema_invalid","tests.core","Thu Nov 27 14:19:15 UTC 2025","passed","Thu Nov 27 14:19:15 UTC 2025","","test_schema_parser","",""
"Testa che l'engine si inizializzi correttamente.","0","test_engine_initialization","tests.core","Thu Nov 27 14:19:14 UTC 2025","passed","Thu Nov 27 14:19:14 UTC 2025","","test_engine","",""
"","1","test_generate_boolean","tests.generators","Thu Nov 27 14:19:15 UTC 2025","passed","Thu Nov 27 14:19:15 UTC 2025","","test_algorithmic","",""
"Testa _validate_structure con proprietà mancante (no 'type').","1","test_validate_structure_missing_type","tests.core","Thu Nov 27 14:19:15 UTC 2025","passed","Thu Nov 27 14:19:15 UTC 2025","","test_schema_parser","",""
"Worst Case Testing: tutte le combinazioni di use_ai, count, ai_prompt, seed.","2","test_generate_wct[True-100-None-None]","tests.core","Thu Nov 27 14:19:15 UTC 2025","passed","Thu Nov 27 14:19:15 UTC 2025","","test_engine","",""
"","2","test_generate_email_format","tests.generators","Thu Nov 27 14:19:15 UTC 2025","passed","Thu Nov 27 14:19:15 UTC 2025","","test_algorithmic","",""
"
    Testa che passando use_ai=True venga usato lo SmartGenerator.
    Verifichiamo l'output 'stub' che abbiamo messo nel file smart.py
    ","0","test_generate_smart_strategy_switch","tests.core","Thu Nov 27 14:19:15 UTC 2025","passed","Thu Nov 27 14:19:15 UTC 2025","","test_engine","",""
"WECT: tutte le combinazioni di use_ai e seed per _get_generator_strategy.","0","test_get_generator_strategy_wect[True-None]","tests.core","Thu Nov 27 14:19:15 UTC 2025","passed","Thu Nov 27 14:19:15 UTC 2025","","test_engine","",""
"Worst Case Testing: tutte le combinazioni di use_ai, count, ai_prompt, seed.","1","test_generate_wct[False-1-Prompt di test-123]","tests.core","Thu Nov 27 14:19:15 UTC 2025","passed","Thu Nov 27 14:19:15 UTC 2025","","test_engine","",""
