"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_clean_files_exists","tests.tests_static_generator.utils","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_utils","",""
"","1","test_export_ndjson_partial_failure","tests.tests_static_generator.exporter","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_exporter","",""
"
    Test the happy path for the `generate` method of the `MockEngine` class.

    This test verifies that the `generate` method:
    - Returns a list of records.
    - Produces the correct number of records as specified by the input.
    - Ensures each record in the list is a dictionary.

    Preconditions:
    - A valid schema file (""valid_schema.json"") must exist at the specified schema path.

    Assertions:
    - The returned value is a list.
    - The length of the list matches the requested number of records.
    - Each item in the list is a dictionary.
    ","2","test_generate_happy_path","tests.tests_static_generator.engine","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_engine","",""
"Copre riga 29: Errore se non si passa nulla al costruttore.","1","test_TC_MISSING_01_init_senza_argomenti","tests.tests_static_generator.schema_parser","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_schema_parser","",""
"","1","test_parse_args_no_short_flags","tests.tests_static_generator.cli_parser","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_cli_parser","",""
"","1","test_export_sql_unsafe_keys","tests.tests_static_generator.exporter","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_exporter","",""
"","0","test_export_json","tests.tests_static_generator.exporter","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_exporter","",""
"","2","test_main_execution_flow","tests.tests_static_generator.main_cli","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_main_cli","",""
"
    Obiettivo: Verificare il flusso 'Happy Path' quando l'utente vuole l'output a video (stdout).
    Verifica che il Controller orchestrino Engine ed Exporter senza toccare il disco.
    ","2","test_controller_stdout_happy_path","tests.tests_static_generator.controller","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_controller","",""
"","1","test_choice_generator_wect_valido","tests.tests_static_generator.algorithmic","Wed Jan 07 14:42:48 UTC 2026","passed","Wed Jan 07 14:42:48 UTC 2026","","test_algorithmic","",""
"","0","test_tipo_non_supportato_errore","tests.tests_static_generator.algorithmic","Wed Jan 07 14:42:48 UTC 2026","passed","Wed Jan 07 14:42:48 UTC 2026","","test_algorithmic","",""
"","1","test_TC_003_errore_file_non_esistente","tests.tests_static_generator.schema_parser","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_schema_parser","",""
"","1","test_parse_args_unknown_flag","tests.tests_static_generator.cli_parser","Wed Jan 07 14:42:48 UTC 2026","passed","Wed Jan 07 14:42:48 UTC 2026","","test_cli_parser","",""
"","0","test_float_generator_bva_massimo_piu_1","tests.tests_static_generator.algorithmic","Wed Jan 07 14:42:48 UTC 2026","passed","Wed Jan 07 14:42:48 UTC 2026","","test_algorithmic","",""
"","0","test_export_invalid_format","tests.tests_static_generator.exporter","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_exporter","",""
"","2","test_generate_typical_records","tests.tests_static_generator.engine","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_engine","",""
"","0","test_string_generator_non_supportato","tests.tests_static_generator.algorithmic","Wed Jan 07 14:42:48 UTC 2026","passed","Wed Jan 07 14:42:48 UTC 2026","","test_algorithmic","",""
"","1","test_parse_args_repeated_arguments","tests.tests_static_generator.cli_parser","Wed Jan 07 14:42:48 UTC 2026","passed","Wed Jan 07 14:42:48 UTC 2026","","test_cli_parser","",""
"","1","test_parse_args_help","tests.tests_static_generator.cli_parser","Wed Jan 07 14:42:48 UTC 2026","passed","Wed Jan 07 14:42:48 UTC 2026","","test_cli_parser","",""
"","0","test_export_sql_nasty_string","tests.tests_static_generator.exporter","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_exporter","",""
"","0","test_create_temp_schema","tests.tests_static_generator.utils","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_utils","",""
"","0","test_main_missing_args_attribute","tests.tests_static_generator.main_cli","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_main_cli","",""
"","1","test_export_sql_default_tablename","tests.tests_static_generator.exporter","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_exporter","",""
"","0","test_input_non_dizionario_errore","tests.tests_static_generator.algorithmic","Wed Jan 07 14:42:48 UTC 2026","passed","Wed Jan 07 14:42:48 UTC 2026","","test_algorithmic","",""
"","1","test_generate_non_numeric_n[bad_n3]","tests.tests_static_generator.engine","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_engine","",""
"","0","test_run_cli_capture_stderr","tests.tests_static_generator.utils","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_utils","",""
"","0","test_clean_files_boundary_empty_list","tests.tests_static_generator.utils","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_utils","",""
"","2","test_generate_non_numeric_n[bad_n2]","tests.tests_static_generator.engine","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_engine","",""
"
    Testa che se la rimozione del file temporaneo fallisce (OSError),
    la funzione lo ignori silenziosamente (pass) senza crashare.
    ","2","test_generate_data_cleanup_handles_oserror","tests.tests_static_generator.utils","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_utils","",""
"","1","test_string_generator_address","tests.tests_static_generator.algorithmic","Wed Jan 07 14:42:48 UTC 2026","passed","Wed Jan 07 14:42:48 UTC 2026","","test_algorithmic","",""
"","0","test_object_generator_wect_valido","tests.tests_static_generator.algorithmic","Wed Jan 07 14:42:48 UTC 2026","passed","Wed Jan 07 14:42:48 UTC 2026","","test_algorithmic","",""
"","1","test_run_cli_boundary_empty_string","tests.tests_static_generator.utils","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_utils","",""
"","1","test_clean_files_oserror","tests.tests_static_generator.utils","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_utils","",""
"","0","test_export_unicode_support","tests.tests_static_generator.exporter","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_exporter","",""
"","0","test_proprieta_mancante_type_errore","tests.tests_static_generator.algorithmic","Wed Jan 07 14:42:48 UTC 2026","passed","Wed Jan 07 14:42:48 UTC 2026","","test_algorithmic","",""
"","4","test_TC_008_bva_massimo_piu_1","tests.tests_static_generator.schema_parser","Wed Jan 07 14:42:49 UTC 2026","passed","Wed Jan 07 14:42:49 UTC 2026","","test_schema_parser","",""
"","1","test_parse_args_boundary_empty_string_out","tests.tests_static_generator.cli_parser","Wed Jan 07 14:42:48 UTC 2026","passed","Wed Jan 07 14:42:48 UTC 2026","","test_cli_parser","",""
